﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
Bp_ClayBasin_UnlockConditionsDesc,Kiln Needed,需要窑炉
Bp_LeatherCoif_CardName,Leather Coif,皮革兜帽
Bp_LeatherCoif_CardDescription,Provides protection and insulation. ,提供保护和保温。
Bp_LeatherCoif_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_LeatherCuirass__CardName,Leather Cuirass,皮革胸甲
Bp_LeatherCuirass__CardDescription,Provides protection and insulation.,提供保护和保温。
Bp_LeatherCuirass__UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_LeatherGreaves_CardName,Leather Greaves,皮革护胫
Bp_LeatherGreaves_CardDescription,Provide protection and insulation.,提供保护和保温。
Bp_LeatherGreaves_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_PrimevalWolfCoat_CardName,Primeval Wolf Coat,原初狼大衣
Bp_PrimevalWolfCoat_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_BlessGrove_CardName,Bless Grove,赐福林地
Bp_CurseGrove_CardName,Curse Grove,诅咒林地
Bp_PrimevalWolfEnchantment_CardName,Primeval Wolf Enchantment,原初之狼附魔
Bp_PrimevalWolfEnchantment_CardDescription,"Enchants an object with the blessings of a primeval wolf spirit, making you better at tracking and chasing prey.",用原初之狼精魄的赐福附魔一件物品，使你更擅长伏击和追踪猎物。
Bp_PrimevalWolfEnchantment_BuildingContainerDurabilitiesConditions.FailMessage,Carcass has no spirit.,尸体没有精魄。
Bp_PrimevalWolfSpiritCalling_CardName,Primeval Wolf Spirit Calling,呼唤原初之狼精魄
Bp_PrimevalWolfSpiritCalling_CardDescription,"Temporarily binds a primeval wolf spirit to your soul, making you both a bit more like the other.",暂时将原初之狼精魄融入你的灵魂，使你们融为一体。
Bp_PrimevalWolfSummoning_CardName,Summoning Ritual,召唤仪式
Bp_PrimevalWolfSummoning_CardDescription,"Temporarily binds a primeval wolf spirit to your soul, making you both a bit more like the other.",暂时将原初之狼精魄融入你的灵魂，使你们融为一体。
Bp_PrimevalWolfSummoning_BuildingContainerDurabilitiesConditions.FailMessage,Carcass has no spirit.,尸体没有精魄。
Bp_StoneFriendRitual_CardName,Stone Friend Ritual,石头朋友仪式
Bp_StoneFriendRitual_BuildingContainerDurabilitiesConditions.FailMessage,You already crafted a Stone Friend,你已经制作了一个石头朋友
Bp_WestStoneEnchantment_CardName,West Stone Enchantment,韦石附魔
Bp_WestStoneEnchantment_CardDescription,"Enchants an object with the blessings of a west stone spirit, boosting your combaat armor and reducing your loneliness and mental structure. ",获得韦石精魄的祝福，提高你的警觉性和免疫系统。
Bp_WestStoneEnchantment_BuildingContainerDurabilitiesConditions.FailMessage,Carcass has no spirit.,尸体没有精魄。
Combat_ BTPrimevalWolf_Head.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",不幸的是，你没能伤害到{0}。
Combat_ BTPrimevalWolf_Head.MinorWounds[0].CombatLog.LogText,"You were able to hurt {0}, but only superficially.",你伤到了{0}，但仅仅是皮外伤。
Combat_ BTPrimevalWolf_Head.MediumWounds[0].CombatLog.LogText,"You landed a solid hit on {0}'s head, it looks a bit dazzled.",你对着{0}的头狠狠来了一下，它似乎有些懵。
Combat_ BTPrimevalWolf_Head.MediumWounds[1].CombatLog.LogText,You hit {0} hard on the nose. It whimpers in pain!,你打中了{0}的鼻子，它发出痛苦地呜咽！
Combat_ BTPrimevalWolf_Head.MediumWounds[2].CombatLog.LogText,You pierced {0} in the nose. It whimpers in pain!,你刺中了{0}的鼻子，它发出痛苦地呜咽！
Combat_ BTPrimevalWolf_Head.MediumWounds[3].CombatLog.LogText,"You pierced {0} in the face, causing an ugly wound.",你刺中{0}的脸部，造成了难看的伤口。
Combat_ BTPrimevalWolf_Head.MediumWounds[4].CombatLog.LogText,You slashed {0}'s nose. It whimpers in pain!,你划破了{0}的鼻子，它发出痛苦地呜咽！
Combat_ BTPrimevalWolf_Head.MediumWounds[5].CombatLog.LogText,You wounded {0}'s head. It whimpers in pain!,你伤了{0}的头，它发出痛苦地呜咽！
Combat_ BTPrimevalWolf_Head.SeriousWounds[0].CombatLog.LogText,"You cracked {0}'s skull, it looks completely stunned.",你击碎了{0}的头骨，它看上去完全昏厥了。
Combat_ BTPrimevalWolf_Head.SeriousWounds[1].CombatLog.LogText,You pierced one of {0}'s eyes!,你刺中了{0}的一只眼睛！
Combat_ BTPrimevalWolf_Head.SeriousWounds[2].CombatLog.LogText,You slashed a deep cut across {0}'s face.,你在{0}的脸上划出一道深深的伤口。
Combat_ BTPrimevalWolf_Head.SeriousWounds[3].CombatLog.LogText,"You pierced its brain, {0} is dead!",你刺穿了它的大脑，{0}死了！
Combat_ BTPrimevalWolf_Head.SeriousWounds[4].CombatLog.LogText,You inflict a serious wound on {0}'s head!,你重创了{0}的头！
Combat_ BTPrimevalWolf_Torso.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",不幸的是，你没能伤害到{0}。
Combat_ BTPrimevalWolf_Torso.MinorWounds[0].CombatLog.LogText,"You were able to hurt {0}, but only superficially.",你伤到了{0}，但仅仅是皮外伤。
Combat_ BTPrimevalWolf_Torso.MediumWounds[0].CombatLog.LogText,You struck {0} hard in the torso.,你狠狠捶打{0}的躯干。
Combat_ BTPrimevalWolf_Torso.MediumWounds[1].CombatLog.LogText,You opened a wound on {0}'s torso.,你在{0}的躯干上开了一道口子。
Combat_ BTPrimevalWolf_Torso.SeriousWounds[0].CombatLog.LogText,You struck {0} so hard you felt something crack inside!,你捶打{0}过猛以至于你感到有什么碎裂在了体内。
Combat_ BTPrimevalWolf_Torso.SeriousWounds[1].CombatLog.LogText,You opened a deep wound on {0}'s torso. It's bleeding profusely!,你重创{0}的躯干造成了深深的开口。伤口血如泉涌！
Combat_ BTPrimevalWolf_LArm.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",不幸的是，你没能伤害到{0}。
Combat_ BTPrimevalWolf_LArm.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,你擦伤了{0}的一条腿。
Combat_ BTPrimevalWolf_LArm.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,你成功伤到了{0}的一条腿。
Combat_ BTPrimevalWolf_LArm.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,你重创了{0}的一条腿！
Combat_ BTPrimevalWolf_RArm.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",不幸的是，你没能伤害到{0}。
Combat_ BTPrimevalWolf_RArm.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,你擦伤了{0}的一条腿。
Combat_ BTPrimevalWolf_RArm.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,你成功伤到了{0}的一条腿。
Combat_ BTPrimevalWolf_RArm.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,你重创了{0}的一条腿！
Combat_ BTPrimevalWolf_LLeg.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",不幸的是，你没能伤害到{0}。
Combat_ BTPrimevalWolf_LLeg.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,你擦伤了{0}的一条腿。
Combat_ BTPrimevalWolf_LLeg.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,你成功伤到了{0}的一条腿。
Combat_ BTPrimevalWolf_LLeg.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,你重创了{0}的一条腿！
Combat_ BTPrimevalWolf_RLeg.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",不幸的是，你没能伤害到{0}。
Combat_ BTPrimevalWolf_RLeg.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,你擦伤了{0}的一条腿。
Combat_ BTPrimevalWolf_RLeg.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,你成功伤到了{0}的一条腿。
Combat_ BTPrimevalWolf_RLeg.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,你重创了{0}的一条腿！
Combat_EncounterPrimevalWolf_EncounterTitle,Primeval Wolf,原初之狼
Combat_EncounterPrimevalWolf_EnemyName,Primeval Wolf,原初之狼
Combat_EncounterPrimevalWolf_EnemyActions[0].ActionLog.LogText,The primeval wolf tries to bite you!,原初之狼试图咬你！
Combat_EncounterPrimevalWolf_EnemyActions[0].SuccessLog.LogText,You fail to dodge and the bite connects...,你没躲过去，被咬了一口……
Combat_EncounterPrimevalWolf_EnemyActions[0].FailureLog.LogText,You successfully get out of the way...,你成功避开了……
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",幸运的是，这次攻击没伤到你。
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a small laceration!,你受了小撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a small bite!,你被咬出一个小伤口！
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.MediumWounds[0].WoundLog.LogText,You got a pretty ugly bite.,你多了个狰狞的咬伤。
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a couple of ugly bites.,你受了好几处严重的咬伤。
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your leg!,你腿上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your leg!,你腿上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your arm!,你胳膊上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You got a deep laceration on your arm!,你胳膊上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[0].PlayerWounds.SeriousWounds[5].WoundLog.LogText,You got multiple lacerations!,你得到了好几道撕裂伤口！
Combat_EncounterPrimevalWolf_EnemyActions[1].ActionLog.LogText,The primeval wolf growls and snarls.,原初之狼低吼咆哮着。
Combat_EncounterPrimevalWolf_EnemyActions[1].SuccessLog.LogText,The growl intimidates you.,你被咆哮恐吓了。
Combat_EncounterPrimevalWolf_EnemyActions[2].ActionLog.LogText,The primeval wolf charges at you!,原初之狼向你冲来！
Combat_EncounterPrimevalWolf_EnemyActions[2].SuccessLog.LogText,You fail to dodge the charge...,你没能躲过这次冲撞……
Combat_EncounterPrimevalWolf_EnemyActions[2].FailureLog.LogText,You successfully get out of the way...,你成功避开了……
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",幸运的是，这次攻击没伤到你。
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a small laceration.,你受了小撕裂伤。
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.MediumWounds[0].WoundLog.LogText,You got a pretty ugly bite.,你多了个狰狞的咬伤。
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a couple of ugly bites.,你受了好几处严重的咬伤。
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your left leg!,你的左腿有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your right leg!,你的右腿有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your left arm!,你的左臂有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You got a deep laceration on your right arm!,你的右臂有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[5].WoundLog.LogText,You got many lacerations!,你得了许多伤口！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[6].WoundLog.LogText,Your left arm is broken! It hurts!,你的左臂断了！好疼啊！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[7].WoundLog.LogText,Your right arm is broken! It hurts!,你的右臂断了！好疼啊！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[8].WoundLog.LogText,Your left leg is broken! It hurts!,你的左腿断了！好疼啊！
Combat_EncounterPrimevalWolf_EnemyActions[2].PlayerWounds.SeriousWounds[9].WoundLog.LogText,Your right leg is broken! It hurts!,你的右腿断了！好疼啊！
Combat_EncounterPrimevalWolf_EnemyActions[3].ActionLog.LogText,The primeval wolf tries to bite you!,原初之狼试图咬你！
Combat_EncounterPrimevalWolf_EnemyActions[3].SuccessLog.LogText,You fail to dodge and the bite connects...,你没躲过去，被咬了一口……
Combat_EncounterPrimevalWolf_EnemyActions[3].FailureLog.LogText,You successfully get out of the way...,你成功避开了……
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",幸运的是，这次攻击没伤到你。
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a small laceration!,你受了小撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a small bite!,你被咬出一个小伤口！
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.MediumWounds[0].WoundLog.LogText,You got a pretty ugly bite.,你多了个狰狞的咬伤。
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a couple of ugly bites.,你受了好几处严重的咬伤。
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your leg!,你腿上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your leg!,你腿上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your arm!,你胳膊上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You got a deep laceration on your arm!,你胳膊上有了一道很深的撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[3].PlayerWounds.SeriousWounds[5].WoundLog.LogText,You got multiple lacerations!,你得到了好几道撕裂伤口！
Combat_EncounterPrimevalWolf_EnemyActions[4].ActionLog.LogText,"The primeval wolf pounces on you, trying to drag you down!",原初之狼扑向你，试图把你扑倒！
Combat_EncounterPrimevalWolf_EnemyActions[4].SuccessLog.LogText,You land on your back and the wolf jumps on top of you!,你仰面摔倒在地，狼跳起扑向了你！
Combat_EncounterPrimevalWolf_EnemyActions[4].FailureLog.LogText,You keep your balance and the wolf steps back. ,你保持住平衡，狼退了回去。
Combat_EncounterPrimevalWolf_EnemyActions[4].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",幸运的是，这次攻击没伤到你。
Combat_EncounterPrimevalWolf_EnemyActions[4].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a small laceration!,你受了小撕裂伤！
Combat_EncounterPrimevalWolf_EnemyActions[4].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a small bite!,你被咬出一个小伤口！
Combat_EncounterPrimevalWolf_EnemyActions[4].PlayerWounds.MediumWounds[0].WoundLog.LogText,You sprained your arm!,你扭伤了手腕！
Combat_EncounterPrimevalWolf_EnemyActions[4].PlayerWounds.MediumWounds[1].WoundLog.LogText,You sprained your arm!,你扭伤了手腕！
